ASIN,Copertina,Titolo,Autore,Data,Recensioni,Categoria
3962230882,https://m.media-amazon.com/images/I/91SwHyHlrzL._AC_UY218_.jpg,"Imparare a disegnare 1000 cose. Grande corso di disegno per bambini, giovani e adulti: Disegnare animali, persone, veicoli e altro - Passo dopo passo | Libro da 6 anni",Bambini Artisti Libro da colorare,9 gen. 2022,245,"Arte, cinema e fotografia"
B099LDTD8N,https://m.media-amazon.com/images/I/715Dv4VKjRS._AC_UY218_.jpg,"Interior Design - Libro da colorare per adulti: Bellissima collezione di pagine da colorare con disegni ispiratori per la casa, idee per stanze ... per rilassarsi e combattere lo stress",Special Art,18 lug. 2021,239,"Arte, cinema e fotografia"
8863883947,https://m.media-amazon.com/images/I/81cihBySbRL._AC_UY218_.jpg,Canzoni al pianoforte (Vol. 1),Franco Concina,1 set. 2020,236,"Arte, cinema e fotografia"
B0874JFF8F,https://m.media-amazon.com/images/I/71F5ly2oBIL._AC_UY218_.jpg,Unicorno Libro da Colorare: Per Bambini dai 4-8 Anni,Libro da Colorare Kim,14 apr. 2020,234,"Arte, cinema e fotografia"
1959885049,https://m.media-amazon.com/images/I/71EWvP0VqsL._AC_UY218_.jpg,"Come disegnare volti e ritratti per principianti: Impara a disegnare volti belli e realistici passo dopo passo - sfumature, proporzioni, occhi, capelli, angolazioni diverse e molto altro!",Leia Bloom,21 nov. 2022,231,"Arte, cinema e fotografia"
B0BXN1TC8S,https://m.media-amazon.com/images/I/71PvZz0LUVL._AC_UY218_.jpg,"Come disegnare 101 progetti passo dopo passo: Imparare a disegnare per principianti, la guida completa per sviluppare la tua creatività attraverso vari progetti.",Originale Educ,7 mar. 2023,229,"Arte, cinema e fotografia"
887490066X,https://m.media-amazon.com/images/I/61fmyayQxPL._AC_UY218_.jpg,Il canone Vignelli. Ediz. illustrata,Massimo Vignelli,24 mag. 2012,228,"Arte, cinema e fotografia"
B0D8QWBL21,https://m.media-amazon.com/images/I/81QzrkoEF5L._AC_UY218_.jpg,"Roma, camminando",Francesco Rutelli,15 nov. 2024,227,"Arte, cinema e fotografia"
8809991915,https://m.media-amazon.com/images/I/71CDbS03SEL._AC_UY218_.jpg,Grafica italiana dal 1945 a oggi,Carlo Vinti,1 gen. 2016,225,"Arte, cinema e fotografia"
B0DP85CWVB,https://m.media-amazon.com/images/I/817ZX5LniCL._AC_UY218_.jpg,Posticini carini. Libro da colorare per tutte le età. Gli originali Coco Wyo,Coco Wyo,18 mar. 2025,223,"Arte, cinema e fotografia"
B004D8HC5Q,https://m.media-amazon.com/images/I/91jNnBLgfpL._AC_UY218_.jpg,Tecnica pianistica. Volume 1,Alessandro Longo,1 gen. 2010,219,"Arte, cinema e fotografia"
B093MVWSJQ,https://m.media-amazon.com/images/I/61bhLl13OsS._AC_UY218_.jpg,Sei personaggi in cerca d'autore: (Testo integrale con prefazione originale dell'autore),Luigi Pirandello,27 apr. 2021,218,"Arte, cinema e fotografia"
B0FWZRZWJX,https://m.media-amazon.com/images/I/71R1ztki7yL._AC_UY218_.jpg,"CONCORSO OSS E OSSS - OPERATORE SOCIO SANITARIO: Guida Completa SPIEGATA FACILE, con Teoria Chiara e Aggiornata, Esempi Pratici, Tabelle di Sintesi e ... e PASSARE i concorsi - Include RISORSE ONLINE",il TUO Concorso,18 ott. 2025,214,"Arte, cinema e fotografia"
8836270654,https://m.media-amazon.com/images/I/719sbh8EcpL._AC_UY218_.jpg,Heavy Bone. La grande storia del rock e del metal a fumetti. Omnibus edition,Enzo Rizzi,22 giu. 2021,207,"Arte, cinema e fotografia"
B0B2TY7HY3,https://m.media-amazon.com/images/I/61tfIP-1ftL._AC_UY218_.jpg,37 BRANI CLASSICI SEMPLIFICATI PER PIANOFORTE: Spartiti facilissimi di brani senza tempo per principianti. Suona i pezzi che hanno fatto la storia e migliora progressivamente la tua abilità!,mauro costa,6 giu. 2022,206,"Arte, cinema e fotografia"
B0CN37GL84,https://m.media-amazon.com/images/I/71ODqWKk8GL._AC_UY218_.jpg,Mandala Emozionali - Libro da Colorare per Adulti: Meravigliose Immagini Disegnate a Mano in Vari Stili per Alleviare Ansia e Stress!,Domenico Grillo,8 nov. 2023,205,"Arte, cinema e fotografia"
8867224085,https://m.media-amazon.com/images/I/61vi6vfgHqL._AC_UY218_.jpg,Prada. Sfilate. Ediz. illustrata,Susannah Frankel,24 ott. 2019,205,"Arte, cinema e fotografia"
8863888191,https://m.media-amazon.com/images/I/814aummaYJL._AC_UY218_.jpg,Il nuovo canzoniere a spirale,AA.VV.,18 dic. 2020,202,"Arte, cinema e fotografia"
B08F6YCY7G,https://m.media-amazon.com/images/I/71VT6ROS4ML._AC_UY218_.jpg,"Unisci i Puntini XXL: 120 Pagine per Bambini da 4 a 8 Anni; Lettere, Numeri, Forme, Animali, e Molto Altro da Completare e Colorare per Imparare a Scrivere, Leggere, Contare Senza Annoiarsi",Learn & Play,3 ago. 2020,201,"Arte, cinema e fotografia"
8863884501,https://m.media-amazon.com/images/I/61yT6g8qD4L._AC_UY218_.jpg,Solfeggi parlati e cantati. Primo corso,Giuseppe Monachino,3 feb. 2016,200,"Arte, cinema e fotografia"
B09D3V853C,https://m.media-amazon.com/images/I/71kZIgOIz+L._AC_UY218_.jpg,Sagreras Le Prime Lezioni di Chitarra | Metodo Classico Chitarra Acustica | Spartiti Diteggiature Semplificate Spiegazioni Pratiche | Manuale Didattico Principianti Studenti Esercizi Progressivi,Julio S. Sagreras,1 ago. 2021,200,"Arte, cinema e fotografia"
8898031025,https://m.media-amazon.com/images/I/71X116BpwOL._AC_UY218_.jpg,Manuale di solfeggio. Per le Scuole superiori (Vol. 1),Mario Fulgoni,1 dic. 2008,200,"Arte, cinema e fotografia"
B0CDFBFRGS,https://m.media-amazon.com/images/I/719RQ8ptEFL._AC_UY218_.jpg,Stelle e ottone. The hidden society (Vol. 1),Jude Archer,23 gen. 2024,198,"Arte, cinema e fotografia"
B09ZQFSH7W,https://m.media-amazon.com/images/I/7173Www3vKL._AC_UY218_.jpg,Mandala: Un libro da colorare per adulti con bellissimi mandala per alleviare lo stress e rilassarsi,Creative Mandala,6 mag. 2022,194,"Arte, cinema e fotografia"
B0BN5Z9Q6Q,https://m.media-amazon.com/images/I/61-a5fEsdfL._AC_UY218_.jpg,PSICOLOGIA NERA E MANIPOLAZIONE MENTALE : 7 Libri in 1: Come Svelare gli Inganni della Mente e Raggiungere la Dominazione Mentale Attraverso Tecniche Proibite di Psicologia Oscura.,James Path,22 nov. 2022,194,"Arte, cinema e fotografia"
B0CMPKK27C,https://m.media-amazon.com/images/I/71ASNttpcdL._AC_UY218_.jpg,Quaderno Pentagrammato A4 di Musica: 104 Pagine Numerate con 12 Pentagrammi a Pagina - Comodo Indice Iniziale - Formato Grande A4 - Per Bambini e Ragazzi,LeoLab,2 nov. 2023,193,"Arte, cinema e fotografia"
B0CK3NH4ZN,https://m.media-amazon.com/images/I/71lVXHAFcvL._AC_UY218_.jpg,"IMPARARE IL FRANCESE IN 30 GIORNI: 6 LIBRI IN 1: Corso Completo Base, Intermedio & Avanzato per Studiare il Francese Partendo da Zero, Tantissimi Esercizi con Domande & Risposte + BONUS AUDIO",Alberta Dubois,29 set. 2023,190,"Arte, cinema e fotografia"
B0C5P7Z6RY,https://m.media-amazon.com/images/I/71cQKmPgZAL._AC_UY218_.jpg,Come Disegno: Gli Animali,C&C Editore,15 mag. 2023,190,"Arte, cinema e fotografia"
8807884097,https://m.media-amazon.com/images/I/71FyU8WIyvL._AC_UY218_.jpg,Le avanguardie artistiche del Novecento,Mario De Micheli,1 gen. 2014,187,"Arte, cinema e fotografia"
B09HG2FJNP,https://m.media-amazon.com/images/I/61Gwjh5VoDL._AC_UY218_.jpg,Corso di Pianoforte per Adulti: Con Poco Tempo,Simone Cangiano,4 ott. 2021,187,"Arte, cinema e fotografia"
B07BF2PR73,https://m.media-amazon.com/images/I/81B9BTLji9L._AC_UY218_.jpg,60 SOLFEGGI Cantati,Manzi G,1 gen. 1978,183,"Arte, cinema e fotografia"
8863885036,https://m.media-amazon.com/images/I/71aeR5GO8wL._AC_UY218_.jpg,L'Hanon lo suono anch'io. Il piccolo virtuoso. 40 esercizi,Maria Vacca,22 mar. 2019,180,"Arte, cinema e fotografia"
8858128761,https://m.media-amazon.com/images/I/61tvedvG9TL._AC_UY218_.jpg,Artista e designer,Bruno Munari,16 mar. 2017,177,"Arte, cinema e fotografia"
8863887403,https://m.media-amazon.com/images/I/51s6E3QOgHL._AC_UY218_.jpg,Island. Il meglio di Einaudi (Best of),Ludovico Einaudi,22 ott. 2018,177,"Arte, cinema e fotografia"
1703068351,https://m.media-amazon.com/images/I/61gd3LBsrSL._AC_UY218_.jpg,Emozioni al Pianoforte: 20 Brani per i primi 2 anni di Pianoforte,Christian Salerno,27 ott. 2019,176,"Arte, cinema e fotografia"
B07SY8GKQW,https://m.media-amazon.com/images/I/61uUdNrUO6L._AC_UY218_.jpg,"William Leavitt Metodo Moderno per Chitarra Volume 1 | Corso per Principianti con Esercizi Progressivi | Libro di Tecnica e Lettura Musicale | Guida per Chitarristi, Studenti e Insegnanti di Musica",William Leavitt,1 gen. 2019,172,"Arte, cinema e fotografia"
B0D4D6NGK7,https://m.media-amazon.com/images/I/71YKQhQzDGL._AC_UY218_.jpg,"INTELLIGENZA EMOTIVA: 6 LIBRI IN 1: SVOLTA LA TUA VITA! Aumenta Fiducia e Autostima attraverso la Psicologia Positiva e Mindset. Linguaggio del Corpo, PNL e Manipolazione + ESERCIZI",James J. Cunningham,16 mag. 2024,168,"Arte, cinema e fotografia"
3836525356,https://m.media-amazon.com/images/I/915Dd4MsnqL._AC_UY218_.jpg,La moda. Storia della moda dal XVIII al XX secolo,Kyoto Costume Institute,21 set. 2015,168,"Arte, cinema e fotografia"
1785580809,https://m.media-amazon.com/images/I/91-ULxph0tL._AC_UY218_.jpg,John Thompson's Very Easy Piano Course: Second Part,John Thompson,1 ott. 2016,166,"Arte, cinema e fotografia"
B0714C2W87,https://m.media-amazon.com/images/I/61a6cl0TlZL._AC_UY218_.jpg,Ruggero Chiesa Guitar Gradus Metodo Elementare per Chitarra | Corso Base con Esercizi Musicali Graduali per Principianti e Autodidatta | Libro di Teoria Musicale e Tecnica per Chitarra Classica,Ruggero Chiesa,1 gen. 1982,165,"Arte, cinema e fotografia"
8895962036,https://m.media-amazon.com/images/I/51aDL3JtUqL._AC_UY218_.jpg,Brand identikit. Trasformare un marchio in una marca,Gaetano Grizzanti,20 feb. 2020,163,"Arte, cinema e fotografia"
8858116313,https://m.media-amazon.com/images/I/71At4dH-+cL._AC_UY218_.jpg,La storia dell'arte. Istruzioni per l'uso. Ediz. illustrata,Antonio Pinelli,23 ott. 2014,163,"Arte, cinema e fotografia"
383655173X,https://m.media-amazon.com/images/I/915y-uejj2L._AC_UY218_.jpg,Monet. Il trionfo dell'impressionismo,Daniel Wildenstein,15 mar. 2014,162,"Arte, cinema e fotografia"
B09WHJGTTK,https://m.media-amazon.com/images/I/716xp8zB2+L._AC_UY218_.jpg,Il gran libro dei cocktail: Ricettario cocktail - Ingredienti e istruzioni passo dopo passo - Con 160 deliziose ricette cocktail - con e senza alcol!,Jeremy Davis,25 mar. 2022,162,"Arte, cinema e fotografia"
B0BB6659SM,https://m.media-amazon.com/images/I/71Gujz9ozTL._AC_UY218_.jpg,"Il mistero del presunto innocente: Un emozionante giallo per ragazzi. Suspense, compromessi e tanti colpi di scena per un’avventura straordinaria",Cristiano Girard,20 ago. 2022,162,"Arte, cinema e fotografia"
8867224875,https://m.media-amazon.com/images/I/81uk2-KpUcL._AC_UY218_.jpg,Hokusai. Hiroshige. Le stagioni viste dai grandi maestri della stampa giapponese. Ediz. a colori,Amélie Balcou,5 mar. 2020,162,"Arte, cinema e fotografia"
B0CV88K23H,https://m.media-amazon.com/images/I/810qySjljEL._AC_UY218_.jpg,"Paesaggi Rilassanti libro da colorare per adulti, 100 pagine, divertiti a colorare splendidi paesaggi in riva al mare, case, fiori, natura,: palme, ... Ideale per anziani. Grande formato.",Artee Relax,6 feb. 2024,161,"Arte, cinema e fotografia"
B0C51XWHCC,https://m.media-amazon.com/images/I/71-oGxu5J3L._AC_UY218_.jpg,"Giochi e Sfide Mentali per Adulti: Rilassati e Mantieni la Mente Giovane! 444 Rompicapi in 4 Difficoltà: Giochi di Memoria e Logica, Enigmistica, Cruciverba, Sudoku e Molto Altro | Formato XXL",Brainy Enigmistica,12 mag. 2023,161,"Arte, cinema e fotografia"
