Data,Titolo,Descrizione_Completa,Ospiti,Immagine,Link
13/05/2026,Massimo D’Alema stasera a Realpolitik,Focus sul caso Garlasco. Ecco le anticipazioni del 13 maggio 2026,Massimo d’alema,https://www.davidemaggio.it/app/uploads/2026/05/Massimo-DAlema.jpg,https://www.davidemaggio.it/realpolitik/massimo-dalema-stasera-a-realpolitik
12/05/2026,Otto e Mezzo,,,https://kdam.iltrovatore.it/p/103/sp/10300/thumbnail/entry_id/0_pj55ohuf///width/1280/quality/100/name/0_pj55ohuf.jpgname/0_pj55ohuf.jpg_vrs8736name/0_pj55ohuf.jpg,https://www.la7.it/otto-e-mezzo/rivedila7/otto-e-mezzo-12-05-2026-644476
12/05/2026,"Eurovision 2026, la favorita Finlandia vola in finale. Niente da fare per San Marino",Ecco le dieci nazioni che staccano il pass nella prima semifinale,N/d,https://www.davidemaggio.it/app/uploads/2026/05/Boy-George-e-Senhit-2000x1048.jpg,https://www.davidemaggio.it/eurovision-song-contest/eurovision-2026-la-favorita-finlandia-vola-in-finale-niente-da-fare-per-san-marino
12/05/2026,La scelta di Ciro Solimeno a Uomini e Donne,Il tronista ha deciso di conoscere al di là delle telecamere Elisa Leonardi nella registrazione di martedì 12 maggio,N/d,https://www.davidemaggio.it/app/uploads/2026/05/Ciro-Solimeno-e-Elisa-Leonardi-Uomini-e-Donne.jpg,https://www.davidemaggio.it/uomini-e-donne/la-scelta-di-ciro-solimeno-a-uomini-e-donne
12/05/2026,"Toto-vincitore Eurovision 2026, la favorita è la Finlandia","Per i bookmakes l'Italia è fuori dal podio nonostante ""Per sempre sì"" di Sal Da Vinci sia il brano più ascoltato",N/d,https://www.davidemaggio.it/app/uploads/2026/05/Pete-Parkkonen-e-Linda-Lampenius.jpg,https://www.davidemaggio.it/eurovision-song-contest/toto-vincitore-eurovision-2026-la-favorita-e-la-finlandia
12/05/2026,"Grande Fratello Vip 2026, diretta sedicesima puntata: chi sarà il terzo finalista?",Dalle 21.55 video e cronaca minuto per minuto della serata in contemporanea alla messa in onda su Canale 5,N/d,https://www.davidemaggio.it/app/uploads/2026/05/IR00_111-2000x1333.jpg,https://www.davidemaggio.it/grande-fratello/grande-fratello-vip-2026-diretta-sedicesima-puntata-chi-sara-il-terzo-finalista
12/05/2026,"È Sempre Cartabianca: De Rensis, Del Debbio, Giordano e Viero tra gli ospiti",Il caso Garlasco e il focolaio di Hantavirus al centro della puntata. Ecco le anticipazioni del 12 maggio 2026,"Giuseppe de rensis, paolo del debbio, mario giordano, veronica viero",https://www.davidemaggio.it/app/uploads/2025/10/e-sempre-Cartabianca-Bianca-Berlinguer-1024x576.jpg,https://www.davidemaggio.it/e-sempre-cartabianca/e-sempre-cartabianca-de-rensis-del-debbio-giordano-e-viero-tra-gli-ospiti
12/05/2026,"Inside, Gaston Zama indaga i complotti globali","Uno speciale dedicato alle grandi teorie cospirazioniste del nostro tempo. Con Massimo Boldi, Fabio Rovazzi, Ornella Muti, Naike Rivelli e Flavia Vento","Massimo boldi, fabio rovazzi, ornella muti, naike rivelli, flavia vento",https://www.davidemaggio.it/app/uploads/2026/05/Le-Iene-Inside-Complotti-Globali.jpeg,https://www.davidemaggio.it/le-iene/inside-gaston-zama-indaga-i-complotti-globali
12/05/2026,"diMartedì, Pier Luigi Bersani e Massimo Ghini tra gli ospiti","Focus sull'attualità politica nazionale e internazionale, con attenzione all'economia. Ecco le anticipazioni del 12 maggio 2026","Pier luigi bersani, massimo ghini",https://www.davidemaggio.it/app/uploads/2026/03/Giovanni-Floris-2.jpg,https://www.davidemaggio.it/dimartedi/dimartedi-pier-luigi-bersani-e-massimo-ghini-tra-gli-ospiti
12/05/2026,"ESC 2026 al via con la prima semifinale. Sul palco anche Sal Da Vinci, ‘fuori gara’ in attesa della finale",Al via in Austria la kermesse musicale. Stasera in gara anche San Marino con Senhit feat. Boy George. Ecco scaletta e ospiti,"Sal da vinci, senhit, boy george",https://www.davidemaggio.it/app/uploads/2026/05/Sal-Da-Vinci-1.jpg,https://www.davidemaggio.it/eurovision-song-contest/esc-2026-prima-semifinale-scaletta-sal-da-vinci
12/05/2026,The Unknown ha tutti i presupposti per una riconferma,Lo show si lascia guardare ma si sarebbe potuto puntare molto più in alto. Gli elementi per fare bene ci sono tutti.,N/d,https://www.davidemaggio.it/app/uploads/2026/05/The-Unknown-il-cast-2000x1334.jpg,https://www.davidemaggio.it/recensioni/the-unknown-recensione-riconferma
11/05/2026,Otto e Mezzo,,"Lina Palmerini, Lucio Caracciolo, Serena Dandini, Andrea Scanzi",https://kdam.iltrovatore.it/p/103/sp/10300/thumbnail/entry_id/0_0cy8ji44///width/1280/quality/100/name/0_0cy8ji44.jpgname/0_0cy8ji44.jpg_vrs7964name/0_0cy8ji44.jpg,https://www.la7.it/otto-e-mezzo/rivedila7/otto-e-mezzo-11-05-2026-644300
