Nuovo,Categoria,Data_Aggiunta,Copertina,Titolo,Autore,Editore,Descrizione,Link
True,Novità,2026-03-29,https://covers2.booksamillion.com/covers/bam/0/06/345/676/0063456761_w.jpg,Rob Friedman - Unhittable (Hardcover),N/D,Harper,"The baseball expert famously known as PitchingNinja explores the revolution that has given pitchers an unprecedented advantage in today's game. Can Tarik Skubal three-peat as AL Cy Young? After winning Rookie of the Year and his first Cy Young, how does Paul Skenes get even nastier? Can Jacob deGrom crack 200 strikeouts again? How will Spencer Strider approach his return to dominance? Which pitchers stand to gain the most from an automated strike zone? And what separates Shohei Ohtani's approach to training from everyone else--why is he the outlier? If you're asking questions like these as the season approaches, Unhittable is just what you've been looking for to prep for Opening Day. Pitching dominates baseball as never before. Spin rate, sweepers, 105 mph fastballs--all have become standard when evaluating pitching arms and techniques and are familiar lingo in discussion and analysis of the game. Gone is the era of the swaggering power hitters. Batting averages are close to the deadball era; team records for strikeouts are broken and then broken again. The game has fundamentally changed, and hitters may never catch up. A self-taught coach who has evolved into a top pitching analyst, Rob Friedman has closely observed this revolution that has transformed baseball for both players and fans. Friedman is sought after by players like Cy Young Award-winners Paul Skenes and Tarik Skubal, and All-Stars such as Yu Darvish, and he spotlights the influential figures behind this transformation: Tom House, a former MLB pitcher turned coaching visionary, utilized cutting-edge technology to refine the techniques of legends like Nolan Ryan and Randy Johnson. His unconventional methods paved the way for a new era shaped by the collision of technology and tradition. Brent Strom, another MLB pitching insider, has used data to revive flagging careers--helping stars like Justin Verlander, Gerrit Cole, and Charlie Morton to use technology to enhance their performance. Kyle Boddy, of Driveline Baseball, has trained elite pitchers such as Trevor Bauer, Shohei Ohtani, and Clayton Kershaw, using advanced analytics and technology, as well as others. Peppered with insights drawn from interviews with top pitchers, Unhittable is an insider's look at how these advancements have been used by players themselves, and how they have fundamentally changed America's pastime.",https://www.booksamillion.com/p/Unhittable/Rob-Friedman/9780063456761
True,Novità,2026-03-29,https://covers1.booksamillion.com/covers/bam/1/83/782/234/1837822344_w.jpg,Rebecca Campbell - Work Your Light Pocket Oracle Cards ,N/D,Hay House UK Ltd,"A pocket-sized, portable version of Rebecca Campbell's bestselling oracle in a beautiful keepsake tin. Discover how to connect with your inner divine wisdom and light up the world with your soul's unique presence. Enjoy one of Hay House's best-selling oracle decks from highly celebrated spiritual teacher Rebecca Campbell - now in a compact keepsake tin, perfect for your on-the-go spiritual journey Are you ready to connect with the intuitive wisdom of your soul and embrace your true calling? This activating 44-card oracle deck will guide you to light up the world with your presence. By working with its five suits and connecting with your intuition, you'll be able to start living a life in alignment with who you truly are. - Confirmation cards give a quick hit of instant guidance. - Inquiry cards help you tune in to the whispers of your soul. - Action cards guide you on what action to take. - Activation cards invoke healing within you. - Transmission cards connect you with supportive energies. The accompanying guidebook contains in-depth meanings for each of the 44 cards, and reveals how to attune your cards, activate soul space before starting work, create different card spreads and give readings for other people. When you work with the cards, you'll discover that your intuition increases, your soul's voice becomes stronger and you can deeply embrace the work you came here to do. 'I'm a super fan of Rebecca Campbell.' Gabby Bernstein, bestselling author of The Universe Has Your Back",https://www.booksamillion.com/p/Work-Your-Light-Pocket-Oracle/Rebecca-Campbell/9781837822348
True,Novità,2026-03-29,https://covers3.booksamillion.com/covers/bam/1/45/496/896/1454968966_w.jpg,Amy Goldstein - Large Print Word Search Puzzles 3 (Large Print Paperback),N/D,Puzzlewright Press,"Hard on the Brain, Easy on the Eyes Challenging, baffling, and absorbing, these word search puzzles are easy-to-read in large-size print. There's a little bit of pop culture, sports and games, and more to keep things interesting, and a wealth of travel-related themes to take you on a mental vacation collecting cleverly hidden words. When you've circled all the words in each grid, read the leftover letters to get a bonus message related to the puzzle. But even if there's a word you can't find in these conundrums, it won't be because it's too small to read",https://www.booksamillion.com/p/Large-Print-Word-Search-Puzzles/Amy-Goldstein/9781454968962
True,Novità,2026-03-29,https://covers1.booksamillion.com/covers/bam/1/66/806/623/1668066238_w.jpg,Richard J. Davidson - Born to Flourish (Hardcover),N/D,Avid Reader Press / Simon & Schuster,"How can we live happy, fulfilling lives in the face of today's challenges? This accessible program grounded in neuroscience answers the question with simple practices we can easily fold into our daily lives for profound results. In a world pulling our thoughts and emotions in so many directions, Born to Flourish offers a way to turn stress and anxiety into clarity and calm. Renowned neuroscientists and contemplative teachers Richard J. Davidson and Cortland Dahl bring us a powerful program rooted in decades of research from the Center for Healthy Minds and the non-profit Humin. Focusing on four transformative practices, they bring us key tools to help train our brains to overcome depression, despair, and loneliness. - Awareness : Learn to be fully present with your emotions so that you can embrace all of life's ups and downs. - Connection : Grow meaningful relationships and a sense of belonging by cultivating kindness and appreciation. - Insight : Learn to know yourself through self-inquiry, so that you can break free from old narratives. - Purpose : Connect with your core values and guiding motivation to create clarity and make sound decisions. We are all born with a natural ability to flourish, but that ability needs to be trained for us to live a thriving life. The good news is that only a few minutes of practice each day makes a measurable difference. With actionable steps and inspiring stories, Born to Flourish helps you integrate these practices effortlessly--whether you're commuting, doing chores, or simply lying in bed. This is a call to embrace life's chaos and tap your inner strength. For anyone seeking to enhance their mental health and overall well-being, Born to Flourish will light a way forward.",https://www.booksamillion.com/p/Born-Flourish/Richard-J-Davidson/9781668066232
True,Novità,2026-03-29,https://covers2.booksamillion.com/covers/bam/1/40/199/850/140199850X_w.jpg,Lewis Howes - Make Money Easy (Paperback),N/D,Hay House Business,N/D,https://www.booksamillion.com/p/Make-Money-Easy/Lewis-Howes/9781401998509
True,Novità,2026-03-29,https://covers4.booksamillion.com/covers/bam/9/79/888/984/9798889843139_w.jpg,"Alicia K. Anderson, PhD - Burnout Recovery (Paperback)",N/D,North Atlantic Books,"A neurodivergent-friendly and holistic guide to identifying, recovering, and growing from the stress and burnout cycle Burnout is a fact of life for most working adults, but many people lack the tools they need to truly recover from it. Even those of us who have tried therapy or self-help guides in the past may continue to cycle in and out of burnout for years, unable to find something that really works. Burnout Recovery offers a holistic and neurodivergent-friendly approach to burnout. In this practical self-help guide, Alicia King Anderson argues that for many of us, burnout is not just a symptom of a stressful workplace. When reducing our workload slightly or taking a vacation doesn't seem to help, we need to consider the entire network of intersecting stresses in our life: physical, psychological, sensory, social, environmental, and political. Taking the metaphor of ""burnout"" literally, Anderson skillfully maps the stages of wildfire burns to the psychological experience of burnout. Drawing from her training in ecopsychology and mythology, she finds profound lessons in the natural cycle of wildfire to help us explore our own potential for healing and growth after a ""burn"" period. This unique book: goes beyond 'work stress' to address all kinds of burnout, including autistic and ADHD burnout, creative burnout, and professional burnout; introduces grief work as an essential part of burnout recovery, to let go of idealized and unsustainable versions of yourself; and provides step-by-step guidance to identify where you are in the burnout cycle--and make a plan ahead of time for the next stages ahead. Each chapter includes a variety of practical tools, including self-discovery exercises, activities, rituals, and journal prompts. For those tired of one-size-fits-all burnout advice, Anderson's guidance will help you identify your unique burnout cycle, helping you get beyond short-term recovery and toward a more sustainable, nourishing, and meaningful life.",https://www.booksamillion.com/p/Burnout-Recovery/Alicia-K-Anderson-PhD/9798889843139
True,Novità,2026-03-29,https://covers3.booksamillion.com/covers/bam/1/64/547/416/164547416X_w.jpg,"Lodro Rinzler - You Are Good, You Are Enough (Paperback)",N/D,Shambhala,"Is your inner critic running your life? Buddhist meditation teacher Lodro Rinzler shares down-to-earth wisdom to help you overcome self-doubt and find your authentic voice. With 5 guided meditation, and 15 ""on-the-spot"" exercises What if the part of you that feels broken, not-enough, or unworthy has been wrong all along? In this timely and compassionate book, meditation teacher and bestselling author Lodro Rinzler offers a radical reminder: underneath all the self-doubt, judgment, and noise of modern life, you are already whole. You are basically good. Drawing from decades of Buddhist practice, teaching, and real-world stories, Rinzler shows how we can reconnect with our innate sense of worthiness and extend that recognition outward--to friends and family, strangers on the street, and even society itself. Through down-to-earth teachings, personal reflections, and simple on-the-go practices, You Are Good, You Are Enough guides readers to: Recognize and trust their own basic goodness--especially when life feels messy. Build resilience in the face of stress and overwhelm. Overcome the trap of doubt that weighs you down. Reclaim childlike wonder and compassion as powerful tools for living. See goodness not only in themselves but in everyone and everything around them. Whether you're new to meditation or a longtime practitioner, this book delivers a message we all need to hear: you aren't basically a mess.",https://www.booksamillion.com/p/Good-Enough/Lodro-Rinzler/9781645474166
True,Novità,2026-03-29,https://covers2.booksamillion.com/covers/bam/0/31/037/025/0310370256_w.jpg,Abbey Wedgeworth - Help! I'm Ruining My Kids (Paperback),N/D,Zondervan,"Are you worried that, despite your best efforts, you're messing up your kids? Help  I'm Ruining My Kids is your invitation to trade defeat and fear for hope and joy as you follow the biblical road map to becoming the mom you're meant to be. We all desperately want to be good mothers who produce good humans, but our flaws and habits get in the way. We're reactive when we want to be intentional. We check out when we need to be engaged. And at the end of a long day, our minds are often flooded with thoughts of self-condemnation. Author and mother Abbey Wedgeworth has been there too. But she has an important message to share with fellow moms: Nothing is beyond redemption--not you, not your experience of motherhood, and not your kids' experience of your imperfections. In Help  I'm Ruining My Kids , Abbey invites you to journey with her toward a place where God's grace frees you from a guilty conscience, his compassion ministers to your past and present hardships, and his Spirit transforms you to look more like Jesus. With refreshing transparency, practical wisdom, and biblical encouragement, Abbey helps you to: Identify and accept your personal limits Develop realistic expectations for motherhood Discover how to fight against mom guilt and the shame that comes with it Create a comprehensive action plan for change Learn to parent well as a work in progress The good news is we can change--with a few practical tools and a whole lot of God's grace.",https://www.booksamillion.com/p/Help-Im-Ruining-My-Kids/Abbey-Wedgeworth/9780310370253
True,Novità,2026-03-29,https://covers3.booksamillion.com/covers/bam/9/79/889/414/9798894141190_w.jpg,Greg Schicker-Taubman - The Shakespeare Tarot ,N/D,RP Studio,"The definitive William Shakespeare tarot deck. This Bard-inspired deck of 78 tarot cards with accompanying guidebook is as gorgeous as it is rich with detail, using Shakespeare's body of work to inspire your journey. A Deck for and by Shakespeare Enthusiasts. The 78 Shakespeare tarot cards feature the Major and Minor Arcana inspired by the original Rider-Waite tarot and ""cast"" using characters from Shakespeare's work or world. The cards feature well-known characters like Romeo and Juliet as the Lovers, as well as deeper-cuts like The Dark Lady as the Moon and Edward the Dark Prince as the Eight of Swords. Deluxe deck fit for the Bard. The set includes 78 illustrated cards (3 x 5 inches), shrink wrapped and housed in a card sleeve; a 136-page illustrated paperback guidebook (4-3/4 x 6 inches); and a keepsake magnetic closure box (3-1/2 x 5-3/8 inches), featuring beautiful gold foil. Insightful accompanying guidebook. The included guidebook contains an interpretation of each card, suggested Shakespeare-themed spreads and readings, and detailed notes on the artwork, demonstrating how each card's image was carefully selected and revealing Easter eggs for fanatics. Perfect entry point. This deck is perfect for both tarot beginners and experienced readers, as it provides a relatable understanding of the cards while maintaining the traditional meanings. Shakespeare is for everyone. The imagery of these cards represents a wide and diverse range of Shakespeare characters, showcasing that Shakespeare and its adaptations are and have been accessible to people of all backgrounds.",https://www.booksamillion.com/p/Shakespeare-Tarot/Greg-Schicker-Taubman/9798894141190
True,Novità,2026-03-29,https://covers2.booksamillion.com/covers/bam/9/79/889/396/9798893961225_w.jpg,Andrew Dutton - The Art of the Sneaker (Hardcover),N/D,Familius,N/D,https://www.booksamillion.com/p/Art-Sneaker/Andrew-Dutton/9798893961225
True,Novità,2026-03-29,https://covers3.booksamillion.com/covers/bam/9/79/833/740/9798337402482_w.jpg,Alan Robert - The Conjuring (Paperback),N/D,Insight Editions,"Color the most terrifying scenes from the films of The Conjuring franchise, featuring illustrations from Alan Robert, the best-selling creator of The Beauty of Horror . Explore the chilling cinematic universe of The Conjuring with detailed illustrations that invite you into the haunting and sinister world of spirits and demons, featuring the scariest moments during the franchise's paranormal events. Whether you're seeking out a relaxing escape or a thrilling journey into the supernatural, The Conjuring: The Official Conjuring Universe Coloring Book is a creative, immersive journey through the terrifying mysteries that have captivated millions.",https://www.booksamillion.com/p/Conjuring/Alan-Robert/9798337402482
